date,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,total_delay,delay_ratio,cancel_ratio
2024-01-01,2024,1,QX,Horizon Air,MSO,"Missoula, MT: Missoula Montana",92,15,7,2,853.0,0.16304347826086957,0.07608695652173914
2024-01-01,2024,1,QX,Horizon Air,OAK,"Oakland, CA: Metro Oakland International",33,7,1,0,371.0,0.21212121212121213,0.030303030303030304
2024-01-01,2024,1,QX,Horizon Air,OME,"Nome, AK: Nome Airport",30,9,3,0,982.0,0.3,0.1
2024-01-01,2024,1,QX,Horizon Air,ONT,"Ontario, CA: Ontario International",20,1,0,0,18.0,0.05,0.0
2024-01-01,2024,1,QX,Horizon Air,ORD,"Chicago, IL: Chicago O'Hare International",5,2,0,0,92.0,0.4,0.0
2024-01-01,2024,1,QX,Horizon Air,OTZ,"Kotzebue, AK: Ralph Wien Memorial",30,10,2,0,502.0,0.3333333333333333,0.06666666666666667
2024-01-01,2024,1,QX,Horizon Air,PAE,"Everett, WA: Snohomish County",180,41,1,0,1761.0,0.22777777777777777,0.005555555555555556
2024-01-01,2024,1,QX,Horizon Air,PDX,"Portland, OR: Portland International",717,163,28,0,10563.0,0.22733612273361228,0.03905160390516039
2024-01-01,2024,1,QX,Horizon Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",96,25,2,0,1399.0,0.2604166666666667,0.020833333333333332
2024-01-01,2024,1,QX,Horizon Air,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",87,15,7,1,785.0,0.1724137931034483,0.08045977011494253
2024-01-01,2024,1,QX,Horizon Air,PSP,"Palm Springs, CA: Palm Springs International",60,15,2,0,512.0,0.25,0.03333333333333333
2024-01-01,2024,1,QX,Horizon Air,PUW,"Pullman, WA: Pullman Moscow Regional",100,20,6,0,949.0,0.2,0.06
2024-01-01,2024,1,QX,Horizon Air,RDD,"Redding, CA: Redding Regional",23,5,0,0,284.0,0.21739130434782608,0.0
2024-01-01,2024,1,QX,Horizon Air,RDM,"Bend/Redmond, OR: Roberts Field",113,21,21,1,932.0,0.18584070796460178,0.18584070796460178
2024-01-01,2024,1,QX,Horizon Air,RNO,"Reno, NV: Reno/Tahoe International",63,8,1,0,498.0,0.12698412698412698,0.015873015873015872
2024-01-01,2024,1,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",72,13,4,0,747.0,0.18055555555555555,0.05555555555555555
2024-01-01,2024,1,QX,Horizon Air,SBA,"Santa Barbara, CA: Santa Barbara Municipal",9,3,0,0,232.0,0.3333333333333333,0.0
2024-01-01,2024,1,QX,Horizon Air,SBP,"San Luis Obispo, CA: San Luis County Regional",21,6,0,0,247.0,0.2857142857142857,0.0
2024-01-01,2024,1,QX,Horizon Air,SEA,"Seattle, WA: Seattle/Tacoma International",1388,319,52,1,20667.0,0.2298270893371758,0.037463976945244955
2024-01-01,2024,1,QX,Horizon Air,SFO,"San Francisco, CA: San Francisco International",169,57,5,0,3440.0,0.33727810650887574,0.029585798816568046
2024-01-01,2024,1,QX,Horizon Air,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",48,6,0,0,444.0,0.125,0.0
2024-01-01,2024,1,QX,Horizon Air,SMF,"Sacramento, CA: Sacramento International",78,25,2,0,1794.0,0.32051282051282054,0.02564102564102564
2024-01-01,2024,1,QX,Horizon Air,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",53,11,0,0,598.0,0.20754716981132076,0.0
2024-01-01,2024,1,QX,Horizon Air,SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",39,7,0,1,245.0,0.1794871794871795,0.0
2024-01-01,2024,1,QX,Horizon Air,TUS,"Tucson, AZ: Tucson International",51,9,1,0,354.0,0.17647058823529413,0.0196078431372549
2024-01-01,2024,1,QX,Horizon Air,YKM,"Yakima, WA: Yakima Air Terminal/McAllister Field",62,7,5,0,358.0,0.11290322580645161,0.08064516129032258
2024-01-01,2024,1,UA,United Air Lines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",127,16,4,1,1079.0,0.12598425196850394,0.031496062992125984
2024-01-01,2024,1,UA,United Air Lines Network,ALB,"Albany, NY: Albany International",62,25,1,0,2738.0,0.4032258064516129,0.016129032258064516
2024-01-01,2024,1,UA,United Air Lines Network,ANC,"Anchorage, AK: Ted Stevens Anchorage International",39,9,0,1,719.0,0.23076923076923078,0.0
2024-01-01,2024,1,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",530,104,30,3,8742.0,0.19622641509433963,0.05660377358490566
2024-01-01,2024,1,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",717,171,45,4,12251.0,0.2384937238493724,0.06276150627615062
